#name latitude/Y longitude/X height/Z yaw pitch roll SAlt$
GOPR0002.JPG 40.0550118 -88.2376718 243.779998779297 0.4411991 -4.753748 -5.968064 0
GOPR0003.JPG 40.0553128 -88.2376718 243.779998779297 359.6165 -4.333644 -4.573588 0
GOPR0004.JPG 40.0556798 -88.2376753 243.740005493164 0.06295432 -3.691025 -2.740845 0
GOPR0005.JPG 40.0557752 -88.2371418 243.770004272461 358.8365 6.122505 -15.52026 0
GOPR0006.JPG 40.0554269 -88.2370606 243.830001831055 359.8565 5.349228 -4.172569 0
GOPR0007.JPG 40.055063 -88.2370627 243.770004272461 359.9447 5.151377 -2.331019 0
GOPR0008.JPG 40.0547349 -88.2370621 243.850006103516 0.5032145 6.511969 -3.485201 0
GOPR0009.JPG 40.0545755 -88.2365243 243.990005493164 0.969184 1.448623 2.849243 0
GOPR0010.JPG 40.054935 -88.2364394 243.699996948242 0.5415501 -2.316608 -3.157522 0
GOPR0011.JPG 40.055294 -88.2364365 243.669998168945 0.02423465 -4.280625 -3.30388 0
GOPR0012.JPG 40.0556351 -88.236436 243.910003662109 0.1423674 -1.791714 -5.709514 0


